id,filename,label,upload_date,size_kb,notes,file_path,thumbnail_path
img-cf5cce6f,Cancer_1.jpg,tumor,2025-06-21T17:57:29.455935,20,,uploads\Cancer_1_e04c5421_.jpg,thumbnails\thumb_Cancer_1_e04c5421_.jpg.jpg
img-65bb60bf,Cancer_1.png,tumor,2025-06-21T17:57:29.470107,34,,uploads\Cancer_1_3696eadb_.png,thumbnails\thumb_Cancer_1_3696eadb_.png.jpg
img-163d5222,Cancer_2.jpg,tumor,2025-06-21T17:57:29.487838,29,,uploads\Cancer_2_e130650c_.jpg,thumbnails\thumb_Cancer_2_e130650c_.jpg.jpg
img-135aa141,Cancer_3.jpg,tumor,2025-06-21T17:57:29.505299,21,,uploads\Cancer_3_ed57e024_.jpg,thumbnails\thumb_Cancer_3_ed57e024_.jpg.jpg
img-40bc478a,Cancer_4.jpg,tumor,2025-06-21T17:57:29.523692,20,,uploads\Cancer_4_17a298b4_.jpg,thumbnails\thumb_Cancer_4_17a298b4_.jpg.jpg
img-002ea1e0,Cancer_5.jpg,tumor,2025-06-21T17:57:29.541454,20,,uploads\Cancer_5_aab4746d_.jpg,thumbnails\thumb_Cancer_5_aab4746d_.jpg.jpg
img-39807347,Cancer_6.jpg,tumor,2025-06-21T17:57:29.558635,19,,uploads\Cancer_6_63602cdb_.jpg,thumbnails\thumb_Cancer_6_63602cdb_.jpg.jpg
img-a500a347,Cancer_7.jpg,tumor,2025-06-21T17:57:29.575656,22,,uploads\Cancer_7_560a68de_.jpg,thumbnails\thumb_Cancer_7_560a68de_.jpg.jpg
img-f99b37e9,Cancer_8.jpg,tumor,2025-06-21T17:57:29.593302,23,,uploads\Cancer_8_54d842c6_.jpg,thumbnails\thumb_Cancer_8_54d842c6_.jpg.jpg
img-3fe41e35,Cancer_9.jpg,tumor,2025-06-21T17:57:29.611158,21,,uploads\Cancer_9_1cef96ba_.jpg,thumbnails\thumb_Cancer_9_1cef96ba_.jpg.jpg
img-a223675e,Cancer_10.jpg,tumor,2025-06-21T17:57:29.628624,21,,uploads\Cancer_10_42dee239_.jpg,thumbnails\thumb_Cancer_10_42dee239_.jpg.jpg
img-84858333,Cancer_11.jpg,tumor,2025-06-21T17:57:29.652573,23,,uploads\Cancer_11_0d7b9862_.jpg,thumbnails\thumb_Cancer_11_0d7b9862_.jpg.jpg
img-e76793bc,Cancer_12.jpg,tumor,2025-06-21T17:57:29.680998,23,,uploads\Cancer_12_0a444262_.jpg,thumbnails\thumb_Cancer_12_0a444262_.jpg.jpg
img-1ecc17ba,Cancer_13.jpg,tumor,2025-06-21T17:57:29.705647,21,,uploads\Cancer_13_87636afe_.jpg,thumbnails\thumb_Cancer_13_87636afe_.jpg.jpg
img-b397b4a1,Cancer_14.jpg,tumor,2025-06-21T17:57:29.728063,19,,uploads\Cancer_14_34a1a025_.jpg,thumbnails\thumb_Cancer_14_34a1a025_.jpg.jpg
img-2674cb0f,Cancer_15.jpg,tumor,2025-06-21T17:57:29.747349,19,,uploads\Cancer_15_9778e0a2_.jpg,thumbnails\thumb_Cancer_15_9778e0a2_.jpg.jpg
img-4860d941,Cancer_16.jpg,tumor,2025-06-21T17:57:29.769587,23,,uploads\Cancer_16_7296a6df_.jpg,thumbnails\thumb_Cancer_16_7296a6df_.jpg.jpg
img-e40954af,Cancer_17.jpg,tumor,2025-06-21T17:57:29.788526,22,,uploads\Cancer_17_f327ecad_.jpg,thumbnails\thumb_Cancer_17_f327ecad_.jpg.jpg
img-77fe8224,Cancer_18.jpg,tumor,2025-06-21T17:57:29.809500,23,,uploads\Cancer_18_e4cf15ab_.jpg,thumbnails\thumb_Cancer_18_e4cf15ab_.jpg.jpg
img-69ead0bc,Cancer_19.jpg,tumor,2025-06-21T17:57:29.827979,23,,uploads\Cancer_19_ed009ed5_.jpg,thumbnails\thumb_Cancer_19_ed009ed5_.jpg.jpg
img-9540069d,Cancer_20.jpg,tumor,2025-06-21T17:57:29.846399,20,,uploads\Cancer_20_f21cb8e0_.jpg,thumbnails\thumb_Cancer_20_f21cb8e0_.jpg.jpg
img-7ed0f797,Cancer_21.jpg,tumor,2025-06-21T17:57:29.864709,21,,uploads\Cancer_21_168bf566_.jpg,thumbnails\thumb_Cancer_21_168bf566_.jpg.jpg
img-3535edf9,Cancer_22.jpg,tumor,2025-06-21T17:57:29.882187,19,,uploads\Cancer_22_c96ba710_.jpg,thumbnails\thumb_Cancer_22_c96ba710_.jpg.jpg
img-5699af8c,Cancer_23.jpg,tumor,2025-06-21T17:57:29.899682,18,,uploads\Cancer_23_3920f630_.jpg,thumbnails\thumb_Cancer_23_3920f630_.jpg.jpg
